file_name,labels
p06/p06-042/p06-042-06-00.png,what
n02/n02-120/n02-120-03-01.png,what
g07/g07-022a/g07-022a-01-03.png,Lady
j04/j04-080/j04-080-07-00.png,hour
f04/f04-074/f04-074-06-00.png,into
h07/h07-020/h07-020-06-09.png,next
l04/l04-130/l04-130-04-08.png,with
g06/g06-050c/g06-050c-08-00.png,ever
e04/e04-058/e04-058-01-03.png,make
r06/r06-044/r06-044-10-02.png,that
n04/n04-163/n04-163-05-00.png,John
e04/e04-011/e04-011-00-06.png,then
n04/n04-218/n04-218-00-00.png,This
c06/c06-103/c06-103-03-03.png,keep
m04/m04-078/m04-078-06-01.png,fact
g07/g07-010b/g07-010b-06-09.png,seal
a04/a04-085/a04-085-02-04.png,some
a01/a01-053x/a01-053x-06-04.png,post
g01/g01-031/g01-031-10-05.png,hope
e01/e01-113/e01-113-07-00.png,rest
e02/e02-074/e02-074-04-07.png,toys
g03/g03-058/g03-058-01-05.png,role
d06/d06-082/d06-082-01-01.png,lose
j07/j07-005/j07-005-02-06.png,heat
h07/h07-040b/h07-040b-08-02.png,town
f07/f07-096/f07-096-01-09.png,down
g06/g06-047g/g06-047g-02-01.png,more
c06/c06-039/c06-039-03-04.png,chat
g02/g02-062/g02-062-06-07.png,beat
n06/n06-182/n06-182-03-04.png,were
a01/a01-091u/a01-091u-06-02.png,that
c04/c04-008/c04-008-02-05.png,this
f04/f04-024/f04-024-04-06.png,with
f07/f07-046a/f07-046a-03-03.png,high
m02/m02-087/m02-087-01-07.png,have
p02/p02-090/p02-090-00-02.png,were
k07/k07-134/k07-134-05-01.png,like
c02/c02-078/c02-078-06-05.png,much
a05/a05-004/a05-004-08-01.png,been
n06/n06-111/n06-111-00-12.png,Town
b05/b05-042/b05-042-00-03.png,that
g06/g06-018n/g06-018n-05-08.png,find
j06/j06-034/j06-034-02-01.png,from
f04/f04-020/f04-020-04-04.png,left
g06/g06-031n/g06-031n-01-02.png,What
a03/a03-009/a03-009-06-04.png,such
c03/c03-081d/c03-081d-08-03.png,that
a02/a02-111/a02-111-02-00.png,Then
k02/k02-018/k02-018-00-08.png,with
c06/c06-080/c06-080-06-00.png,been
e07/e07-012/e07-012-00-00.png,From
h05/h05-012/h05-012-03-05.png,from
c06/c06-005/c06-005-02-00.png,full
l01/l01-030/l01-030-07-07.png,Pete
m06/m06-106/m06-106-02-09.png,Flor
m03/m03-118/m03-118-04-07.png,rock
h06/h06-096/h06-096-06-01.png,into
e01/e01-102/e01-102-00-06.png,part
c02/c02-059/c02-059-08-00.png,film
a02/a02-012/a02-012-04-01.png,days
n02/n02-082a/n02-082a-02-06.png,four
h04/h04-025/h04-025-00-09.png,cent
f04/f04-046/f04-046-00-02.png,bone
g06/g06-011j/g06-011j-01-05.png,that
g06/g06-042b/g06-042b-00-09.png,even
n06/n06-082/n06-082-00-16.png,come
a05/a05-094/a05-094-00-06.png,that
e04/e04-091/e04-091-03-06.png,into
l04/l04-153/l04-153-03-03.png,view
c03/c03-087d/c03-087d-00-01.png,went
a01/a01-000u/a01-000u-01-02.png,more
l04/l04-113/l04-113-02-13.png,been
d06/d06-060/d06-060-00-06.png,that
f04/f04-049/f04-049-01-01.png,have
a01/a01-007x/a01-007x-01-01.png,have
l04/l04-147/l04-147-05-01.png,them
b05/b05-058/b05-058-04-10.png,Jews
l04/l04-087/l04-087-05-01.png,with
c04/c04-039/c04-039-07-04.png,mind
d06/d06-056/d06-056-06-05.png,cure
a01/a01-063x/a01-063x-05-01.png,next
h06/h06-082/h06-082-08-00.png,dead
m02/m02-106/m02-106-05-00.png,were
l04/l04-118/l04-118-02-02.png,want
d06/d06-111/d06-111-04-05.png,done
m06/m06-106/m06-106-06-07.png,sail
g07/g07-018a/g07-018a-00-05.png,that
b02/b02-035/b02-035-10-03.png,that
m04/m04-078/m04-078-07-00.png,away
d01/d01-049/d01-049-05-01.png,that
k04/k04-028/k04-028-05-03.png,last
m04/m04-030/m04-030-02-12.png,away
f01/f01-081/f01-081-03-03.png,lead
j06/j06-026/j06-026-05-04.png,been
a02/a02-027/a02-027-01-00.png,that
n02/n02-004/n02-004-03-09.png,that
d07/d07-082/d07-082-03-01.png,that
a03/a03-011/a03-011-03-00.png,time
d06/d06-020/d06-020-07-05.png,with
