file_name,labels
b06/b06-049/b06-049-05-03.png,Hopes
d01/d01-019/d01-019-00-00.png,There
j04/j04-094/j04-094-04-03.png,prior
m04/m04-024/m04-024-05-06.png,might
g07/g07-074a/g07-074a-04-07.png,where
l07/l07-138/l07-138-04-02.png,water
h07/h07-000/h07-000-02-02.png,after
a06/a06-070/a06-070-05-04.png,Trade
r06/r06-007/r06-007-01-10.png,radar
l01/l01-179/l01-179-02-06.png,First
d07/d07-096/d07-096-08-03.png,Court
e02/e02-117/e02-117-01-08.png,table
a01/a01-003x/a01-003x-07-07.png,which
c06/c06-058/c06-058-04-04.png,where
d04/d04-066/d04-066-08-02.png,grasp
a02/a02-020/a02-020-02-05.png,Heath
n03/n03-103/n03-103-05-04.png,small
a04/a04-035/a04-035-06-01.png,visit
c06/c06-091/c06-091-00-05.png,budge
a05/a05-089/a05-089-01-01.png,rated
f07/f07-092a/f07-092a-07-01.png,going
b06/b06-093/b06-093-08-01.png,about
h07/h07-037/h07-037-08-01.png,towns
b06/b06-045/b06-045-02-08.png,meant
j06/j06-014/j06-014-06-02.png,which
d06/d06-104/d06-104-06-02.png,means
b05/b05-032/b05-032-03-08.png,never
m02/m02-102/m02-102-00-06.png,stood
a05/a05-080/a05-080-06-00.png,would
c03/c03-087f/c03-087f-07-07.png,which
b05/b05-055/b05-055-03-08.png,makes
c04/c04-116/c04-116-02-05.png,known
b01/b01-089/b01-089-09-02.png,there
f07/f07-101a/f07-101a-03-00.png,FUNNY
a01/a01-117u/a01-117u-10-00.png,whose
f04/f04-049/f04-049-05-09.png,might
f07/f07-096/f07-096-04-10.png,brown
m04/m04-072/m04-072-09-03.png,being
a02/a02-106/a02-106-00-04.png,other
f04/f04-074/f04-074-04-07.png,where
d04/d04-028/d04-028-04-07.png,earth
k07/k07-185/k07-185-08-04.png,sorts
j06/j06-026/j06-026-06-02.png,times
a01/a01-030u/a01-030u-10-05.png,table
c03/c03-096b/c03-096b-07-02.png,queer
g06/g06-050m/g06-050m-09-02.png,being
e04/e04-062/e04-062-07-01.png,table
l01/l01-065/l01-065-02-05.png,could
p03/p03-087/p03-087-06-05.png,would
e07/e07-007/e07-007-02-00.png,birds
p03/p03-069/p03-069-03-03.png,there
f04/f04-079/f04-079-05-03.png,money
d06/d06-107/d06-107-06-02.png,order
h06/h06-089/h06-089-07-02.png,guard
f07/f07-019b/f07-019b-01-05.png,those
g06/g06-011c/g06-011c-03-06.png,wrote
g06/g06-045a/g06-045a-06-02.png,under
g01/g01-027/g01-027-04-06.png,range
m04/m04-200/m04-200-04-12.png,their
g06/g06-011n/g06-011n-06-04.png,tired
g06/g06-031l/g06-031l-04-00.png,great
k07/k07-063a/k07-063a-02-00.png,heart
r03/r03-110/r03-110-05-03.png,later
e04/e04-038/e04-038-04-00.png,paint
b02/b02-045/b02-045-05-07.png,great
g01/g01-074/g01-074-04-08.png,clear
n04/n04-000/n04-000-01-08.png,laugh
h07/h07-054a/h07-054a-07-02.png,under
a05/a05-004/a05-004-03-06.png,would
g06/g06-042b/g06-042b-02-00.png,found
c01/c01-014/c01-014-00-06.png,Auden
d04/d04-005/d04-005-06-05.png,place
g04/g04-088/g04-088-09-04.png,there
g01/g01-022/g01-022-06-03.png,SPENT
n04/n04-213/n04-213-00-00.png,There
b03/b03-087/b03-087-02-00.png,short
l07/l07-172/l07-172-08-02.png,locks
j07/j07-009/j07-009-02-00.png,cabin
d07/d07-096/d07-096-02-02.png,other
f04/f04-049/f04-049-01-12.png,crime
m04/m04-000/m04-000-07-02.png,orbit
c02/c02-078/c02-078-02-00.png,above
d06/d06-111/d06-111-00-01.png,would
e04/e04-038/e04-038-02-01.png,cover
f07/f07-000b/f07-000b-05-05.png,covet
b06/b06-100/b06-100-07-04.png,swell
h07/h07-063a/h07-063a-03-09.png,towns
g06/g06-050c/g06-050c-08-02.png,cured
l04/l04-012/l04-012-00-14.png,sting
g06/g06-045c/g06-045c-05-01.png,under
l01/l01-133/l01-133-06-04.png,heard
p02/p02-000/p02-000-02-08.png,alone
b01/b01-014/b01-014-00-01.png,holds
e04/e04-062/e04-062-01-03.png,proof
h06/h06-096/h06-096-00-06.png,point
f07/f07-046a/f07-046a-01-06.png,spear
l04/l04-141/l04-141-05-10.png,money
g06/g06-031e/g06-031e-00-08.png,wrote
c06/c06-076/c06-076-03-02.png,drunk
m06/m06-056/m06-056-02-00.png,young
n04/n04-092/n04-092-06-01.png,glass
g06/g06-042l/g06-042l-03-02.png,point
h07/h07-054a/h07-054a-00-05.png,large
m02/m02-066/m02-066-02-07.png,which
g01/g01-045/g01-045-00-03.png,these
k03/k03-152/k03-152-07-01.png,since
g06/g06-011c/g06-011c-00-07.png,still
b06/b06-015/b06-015-04-00.png,bases
g07/g07-000a/g07-000a-04-03.png,WOULD
r06/r06-027/r06-027-04-09.png,named
e04/e04-030/e04-030-04-10.png,these
a05/a05-073/a05-073-09-02.png,could
p06/p06-096/p06-096-06-01.png,never
b06/b06-110/b06-110-05-01.png,board
b05/b05-017/b05-017-01-05.png,paper
g06/g06-018m/g06-018m-04-01.png,agree
k02/k02-102/k02-102-00-02.png,still
g06/g06-045g/g06-045g-04-04.png,under
c03/c03-081c/c03-081c-02-07.png,minds
a04/a04-072/a04-072-10-02.png,major
g04/g04-088/g04-088-08-04.png,stuck
a04/a04-103/a04-103-01-04.png,world
c06/c06-076/c06-076-03-03.png,scene
n04/n04-044/n04-044-02-08.png,these
k04/k04-075/k04-075-07-05.png,human
m02/m02-090/m02-090-00-08.png,cases
m04/m04-113/m04-113-09-07.png,sound
c03/c03-016e/c03-016e-09-01.png,lover
g03/g03-052/g03-052-04-00.png,mined
k04/k04-119/k04-119-02-01.png,heart
h01/h01-004/h01-004-03-08.png,about
a01/a01-132x/a01-132x-06-08.png,these
c06/c06-087/c06-087-03-03.png,place
n03/n03-038/n03-038-04-06.png,found
a04/a04-006/a04-006-02-05.png,meant
c03/c03-081f/c03-081f-06-03.png,brief
g06/g06-031d/g06-031d-00-04.png,event
f04/f04-096/f04-096-04-05.png,which
h04/h04-028/h04-028-01-04.png,bread
d06/d06-067/d06-067-05-00.png,piece
g01/g01-022/g01-022-06-00.png,THEIR
e01/e01-022/e01-022-05-00.png,these
c02/c02-049/c02-049-09-04.png,plugs
e04/e04-079/e04-079-03-02.png,floor
g04/g04-077/g04-077-05-03.png,where
b06/b06-032/b06-032-04-05.png,rearm
a03/a03-027/a03-027-07-07.png,since
h04/h04-021/h04-021-06-06.png,types
d07/d07-089/d07-089-07-03.png,deals
h07/h07-028/h07-028-04-04.png,shops
c03/c03-084f/c03-084f-00-01.png,Bryan
c06/c06-011/c06-011-07-00.png,other
c02/c02-089/c02-089-00-02.png,large
d01/d01-080/d01-080-06-02.png,would
